id	gtin	title	gender	quantity	size	colour	item_group_id	hierarchy	availability	link	sale_price	price	description	custom_label_3	shipping(price)	brand_name	size_system	condition	age_group	identifier_exists	pdxtcat_testing	pdxtstyletax	google_product_category	product_type	category_list	additional_image_link	image_link
AZZ00043	AZZ00043	"Leona Basic Slinky Crop Bralet"	Female	901			AZZ00043	Parent	"In Stock"	http://us.bhx.com/AZZ00043.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_white_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_white_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_white_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_white_xl.jpg
AZZ00043-105-14	AZZ0004310514	"Leona Basic Slinky Crop Bralet"	Female	25	2	black	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-105-14.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_black_xl.jpg
AZZ00043-105-16	AZZ0004310516	"Leona Basic Slinky Crop Bralet"	Female	110	4	black	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-105-16.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_black_xl.jpg
AZZ00043-105-18	AZZ0004310518	"Leona Basic Slinky Crop Bralet"	Female	124	6	black	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-105-18.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_black_xl.jpg
AZZ00043-105-20	AZZ0004310520	"Leona Basic Slinky Crop Bralet"	Female	234	8	black	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-105-20.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_black_xl.jpg
AZZ00043-105-22	AZZ0004310522	"Leona Basic Slinky Crop Bralet"	Female	16	10	black	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-105-22.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_black_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_black_xl.jpg
AZZ00043-122-14	AZZ0004312214	"Leona Basic Slinky Crop Bralet"	Female	34	2	coral	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-122-14.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl.jpg
AZZ00043-122-16	AZZ0004312216	"Leona Basic Slinky Crop Bralet"	Female	26	4	coral	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-122-16.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl.jpg
AZZ00043-122-18	AZZ0004312218	"Leona Basic Slinky Crop Bralet"	Female	27	6	coral	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-122-18.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl.jpg
AZZ00043-122-20	AZZ0004312220	"Leona Basic Slinky Crop Bralet"	Female	28	8	coral	AZZ00043	Variant	"In Stock"	http://us.bhx.com/AZZ00043-122-20.html	"8.00 USD"	"10.00 USD"	"Steal the style top spot in a statement separate from the tops collectionCamis or crops, bandeaus or bralets, we've got all the trend-setting tops so you can stay statement in separates this season. Hit refresh on your jersey basics with pastel hues and pick a quirky kimono to give your ensemble that Eastern-inspired edge. Off the shoulder styles are oh-so-sweet, with slogans making your tee a talking point."		" "	bhx	US	New	adult	TRUE	Tops		"Clothing & Accessories > Clothing > Shirts & Tops"	Tops		http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_1.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_2.jpg,http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl_3.jpg	http://i1.adis.ws/i/bhxamplience/azz00043_coral_xl.jpg
